type	rank	popularity	fpid	kind	name
f	521	0.0411	0636920109549	olt	Install Linux on a virtual machine
a	521	0.0411	0636920109549	olt	Theodore P. Jordan
f	522	0.0410	9780134192468	video	Building Microservices with Spring Boot LiveLessons (Video Training)
a	522	0.0410	9780134192468	video	Josh Long
a	522	0.0410	9780134192468	video	Phillip Webb
f	523	0.0410	9780134467207	video	VMware NSX Fundamentals
a	523	0.0410	9780134467207	video	Anthony Burke
a	523	0.0410	9780134467207	video	Ron Fuller
a	523	0.0410	9780134467207	video	Andreas la Quiante
f	524	0.0408	9780133965803	video	Red Hat Certified System Administrator (RHCSA) Complete Video Course
a	524	0.0408	9780133965803	video	Sander van Vugt
f	525	0.0408	9781449398712	book	Programming Python, 4th Edition
a	525	0.0408	9781449398712	book	Mark Lutz
f	526	0.0408	9781491961643	book	Building Progressive Web Apps
a	526	0.0408	9781491961643	book	Tal Ater
f	527	0.0406	9781780172996	book	Software Testing - An ISTQB-BCS Certified Tester Foundation guide 3rd edition
a	527	0.0406	9781780172996	book	Angelina
a	527	0.0406	9781780172996	book	Brian
a	527	0.0406	9781780172996	book	Geoff
a	527	0.0406	9781780172996	book	Peter
f	528	0.0406	9781491945087	book	Learning Chef
a	528	0.0406	9781491945087	book	Mischa Taylor
a	528	0.0406	9781491945087	book	Seth Vargo
f	529	0.0405	9781491961025	video	Learning Path: Build Spring MVC Web Applications
a	529	0.0405	9781491961025	video	Brian Foster
f	530	0.0405	9780134807553	video	CompTIA Security+ (SY0-501)
a	530	0.0405	9780134807553	video	Sari Greene
f	531	0.0404	0636920087175	olt	Write Your First Spark Program in Java
a	531	0.0404	0636920087175	olt	Jesse Anderson
f	532	0.0404	9781788471282	video	Learning Path: JavaScript: Learn Functional Programming with JavaScript
a	532	0.0404	9781788471282	video	Tanmayee Patil - Curator
f	533	0.0403	9781259836565	book	CEH Certified Ethical Hacker All-in-One Exam Guide, Third Edition, 3rd Edition
a	533	0.0403	9781259836565	book	Matt Walker
f	534	0.0402	strata144	conf	Strata + Hadoop World in San Jose 2016
f	535	0.0401	9781119252245	book	CEH v9
a	535	0.0401	9781119252245	book	Sean-Philip Oriyano
f	536	0.0401	9781449363512	book	Java Performance: The Definitive Guide
a	536	0.0401	9781449363512	book	Scott Oaks
f	537	0.0400	9781491933213	book	The Hitchhiker's Guide to Python
a	537	0.0400	9781491933213	book	Kenneth Reitz
a	537	0.0400	9781491933213	book	Tanya Schlusser
f	538	0.0400	9781491924761	book	nginx
a	538	0.0400	9781491924761	book	Stephen Corona
f	539	0.0399	software-architecture174	conf	Software Architecture Conference in San Francisco 2016
f	540	0.0398	0636920058564	olt	Data Science with Unix Power Tools
a	540	0.0398	0636920058564	olt	Jeroen Janssens
f	541	0.0398	9781491977569	video	Learning Path: Python for Data Analytics
f	542	0.0397	9780071820288	book	OCA Oracle Database 12c SQL Fundamentals I Exam Guide (Exam 1Z0-061), 2nd Edition
a	542	0.0397	9780071820288	book	Roopesh Ramklass
f	543	0.0396	9781491901175	video	Software Architecture Fundamentals Beyond the Basics
a	543	0.0396	9781491901175	video	Mark Richards
a	543	0.0396	9781491901175	video	Neal Ford
f	544	0.0396	9781788298384	video	AWS Certified Developer - Associate Tutorial - Step 1
a	544	0.0396	9781788298384	video	Raluca Bolovan
f	545	0.0396	0321334876	book	Effective C++: 55 Specific Ways to Improve Your Programs and Designs, Third Edition
a	545	0.0396	0321334876	book	Scott Meyers
f	546	0.0395	0636920086185	olt	Building Successful Products in the Real World
a	546	0.0395	0636920086185	olt	Dave Pinke
f	547	0.0395	0636920079446	olt	Mastering the Cloudera Manager for your Hadoop Cluster
a	547	0.0395	0636920079446	olt	Amit Rustagi
f	548	0.0394	9781787280243	book	Mastering Docker - Second Edition
a	548	0.0394	9781787280243	book	Russ McKendrick
a	548	0.0394	9781787280243	book	Scott Gallagher
f	549	0.0393	9780134382135	book	Microsoft Dynamics CRM 2016 Unleashed
a	549	0.0393	9780134382135	book	Marc Wolenik
f	550	0.0393	9781118983843	book	Linux Command Line and Shell Scripting Bible, 3rd Edition
a	550	0.0393	9781118983843	book	Christine Bresnahan
a	550	0.0393	9781118983843	book	Richard Blum
